"n_models","resample_alpha","max_depth","eff_trees","nrounds","lambda","colsample_bytree","l1_alpha","fold","nt","oof_mae_pls","oof_mae_xgb","in_fold_mae_pls","in_fold_mae_xgb"
20,0.2,3,50,500,0,1,0,2,5,0.405769230769231,0.476864993480536,0.118085618085618,0.265736370484608
20,0.2,3,50,500,1,1,0,2,5,0.417307692307692,0.477490319953515,0.116642616642617,0.265115124050272
20,0.2,3,50,500,0,0.5,0,2,5,0.425,0.478784753989715,0.116161616161616,0.264696767941985
20,0.2,3,50,500,1,0.5,0,2,5,0.413461538461539,0.480378778129816,0.119288119288119,0.265843330867707
20,1,7,200,500,0,1,0,2,5,Inf,0.435384613080667,Inf,0.0362761988812998
20,1,7,200,500,1,1,0,2,5,Inf,0.440207949555837,Inf,0.0372852251041159
20,1,7,200,500,0,0.5,0,2,5,Inf,0.435418833150313,Inf,0.036564780583228
20,1,7,200,500,1,0.5,0,2,5,Inf,0.434388693548166,Inf,0.0369829161916002
20,1,3,200,500,0,1,0,2,5,Inf,0.43695757277883,Inf,0.0367331686445358
20,1,3,200,500,1,1,0,2,5,Inf,0.436270331098483,Inf,0.0365113869087235
20,1,3,200,500,0,0.5,0,2,5,Inf,0.434910157196797,Inf,0.0363217277444286
20,1,3,200,500,1,0.5,0,2,5,Inf,0.435716913743661,Inf,0.0358220990372714
20,1,7,50,500,0,1,0,2,5,0.391346153846154,0.455948831553643,0.0211640211640211,0.150410908503622
20,1,7,50,500,1,1,0,2,5,0.400961538461539,0.460092904498944,0.0199615199615198,0.15129778552021
20,1,7,50,500,0,0.5,0,2,5,0.408653846153846,0.45866488385659,0.0209235209235209,0.149419638249322
20,1,7,50,500,1,0.5,0,2,5,Inf,0.456594013823913,Inf,0.149059204197435
20,1,3,50,500,0,1,0,2,5,0.390384615384615,0.453944670431889,0.0182780182780183,0.147610359804856
20,1,3,50,500,1,1,0,2,5,0.405769230769231,0.457714636612397,0.0187590187590187,0.149337353234454
20,1,3,50,500,0,0.5,0,2,5,0.402884615384616,0.456001035146988,0.0192400192400192,0.151297745239052
20,1,3,50,500,1,0.5,0,2,5,0.408653846153846,0.460308754558747,0.021885521885522,0.150464708906002
20,0.1,7,200,500,0,1,0,3,5,0.384615384615385,0.473934177595836,0.120731120731121,0.27587574941714
20,0.1,7,200,500,1,1,0,3,5,0.393269230769231,0.472025140306124,0.126262626262626,0.278172921618342
20,0.1,7,200,500,0,0.5,0,3,5,0.388461538461538,0.471788478356141,0.125060125060125,0.276559436914725
20,0.1,7,200,500,1,0.5,0,3,5,0.392307692307692,0.474592992663383,0.131553631553631,0.280066773365644
20,0.1,3,200,500,0,1,0,3,5,0.389423076923077,0.476544675265367,0.125541125541125,0.27906808421668
20,0.1,3,200,500,1,1,0,3,5,0.395192307692308,0.474829343580283,0.135161135161135,0.282122151094196
20,0.1,3,200,500,0,0.5,0,3,5,0.395192307692308,0.479286011606455,0.135642135642136,0.279868770061404
20,0.1,3,200,500,1,0.5,0,3,5,0.389423076923077,0.471736163794994,0.124819624819625,0.27639816947543
20,0.1,7,50,500,0,1,0,3,5,0.4125,0.486849754865353,0.186387686387687,0.330637790177406
20,0.1,7,50,500,1,1,0,3,5,0.397115384615385,0.487111647576094,0.190476190476191,0.332502716444271
20,0.1,7,50,500,0,0.5,0,3,5,0.415384615384615,0.487424699228544,0.202260702260702,0.332708422904866
20,0.1,7,50,500,1,0.5,0,3,5,0.405769230769231,0.48637772255219,0.190716690716691,0.332696849830223
20,0.1,3,50,500,0,1,0,3,5,0.400961538461538,0.488467939518965,0.198412698412698,0.332852123573802
20,0.1,3,50,500,1,1,0,3,5,0.405769230769231,0.488551161988423,0.1998556998557,0.331219800413658
20,0.1,3,50,500,0,0.5,0,3,5,0.406730769230769,0.488640494186145,0.198172198172198,0.332159761607848
20,0.1,3,50,500,1,0.5,0,3,5,0.396153846153846,0.487269931813845,0.202260702260702,0.334490671101644
20,0.2,7,200,500,0,1,0,3,5,0.375,0.45227474837349,0.0399230399230397,0.187893771677994
20,0.2,7,200,500,1,1,0,3,5,0.366346153846154,0.448351097588356,0.0375180375180375,0.187346357482738
20,0.2,7,200,500,0,0.5,0,3,5,0.369230769230769,0.445124422357633,0.0396825396825397,0.187787576765897
20,0.2,7,200,500,1,0.5,0,3,5,0.375961538461538,0.451110725918641,0.0435305435305434,0.189475665263341
20,0.2,3,200,500,0,1,0,3,5,0.374038461538462,0.454040446533607,0.0430495430495431,0.190360327355273
20,0.2,3,200,500,1,1,0,3,5,0.357692307692308,0.44882144590983,0.0394420394420394,0.187812251767153
20,0.2,3,200,500,0,0.5,0,3,5,0.389423076923077,0.453430009839627,0.0377585377585378,0.188303523461597
20,0.2,3,200,500,1,0.5,0,3,5,Inf,0.44907787251931,Inf,0.189444004007118
20,0.2,7,50,500,0,1,0,3,5,0.375,0.469238791030187,0.114237614237614,0.268405979306954
20,0.2,7,50,500,1,1,0,3,5,0.392307692307692,0.469180764234983,0.114718614718615,0.268437855354922
20,0.2,7,50,500,0,0.5,0,3,5,0.384615384615384,0.472246610510808,0.107503607503607,0.26532044504456
20,0.2,7,50,500,1,0.5,0,3,5,0.378846153846154,0.470239131737214,0.112554112554112,0.268235189238668
20,0.2,3,50,500,0,1,0,3,5,0.391346153846154,0.473464404103848,0.113516113516114,0.26728551167889
20,0.2,3,50,500,1,1,0,3,5,0.375961538461538,0.466711050421,0.114718614718614,0.267876641239439
20,0.2,3,50,500,0,0.5,0,3,5,0.385576923076923,0.467138075255431,0.113756613756614,0.267845901897058
20,0.2,3,50,500,1,0.5,0,3,5,0.388461538461538,0.466741007635227,0.107503607503608,0.266963230216085
20,1,7,200,500,0,1,0,3,5,Inf,0.41587384313345,Inf,0.037272647543559
20,1,7,200,500,1,1,0,3,5,Inf,0.416218025329021,Inf,0.038225589451049
20,1,7,200,500,0,0.5,0,3,5,Inf,0.41350633013707,Inf,0.0366236187306203
